CUSTOMERNUMBER,CUSTOMERNAME,ADDRESSFORM,STREET,POBOX,POSTALCODE,CITY,COUNTRYCODE,REGION,PHONE,CUSTOMERTYPE,DISCOUNTRATE,LANGUAGEKEY,EMAIL,WEBUSERNAME
1,SAP AG,Firma,Dietmar-Hopp-Allee 16,,69190,Walldorf,DE,,06227-34-0,B,10,D,info@sap.de,
2,Andreas Klotz,Herr,Pimpinellenweg 9,,69190,Walldorf,DE,,05344-676792,P,20,D,Andreas.Klotz@sap.com,
3,Hans Bullinger,Herr,Veilchenstraße 12,,69119,Heidelberg,DE,,02099-44591,P,0,D,Hansi@Bulli.de,
4,Staerck,Frau,Kaiserstr. 55,,69115,Heidelberg,DE,,07508-66-7886,P,0,D,Farbenblind@gmx.de,
5,Martin,Mister,44 Harolds Road,,L07 1AZ,Liverpool,GB,,,P,0,E,Steve.Martin@hool.uk,
6,Starr,Miss,74 Kings Road,,L07 3BC,Liverpool,GB,,,P,0,E,FCStar@unio.uk,
7,King,Mister,Hyde Park 7,,M21 7AB,Manchester,GB,,,P,0,E,Burger@King.com,
8,Moore,Company,,A-312,SW3 4DE,London,GB,,,P,0,E,Moore@abc.net,
9,Everton FC,,Sir Wellington Road,,L08 5RZ,Liverpool,GB,,332-5678-0,B,0,E,Football.Liverpool@sports.com,
10,Raupp,Herr,Glockenblumenweg 5,,8002,Zuerich,CH,,,P,0,D,HelmutDanielaRaupp@swiss.ch,
11,Ballmann,Herr,Ballmanns Leiden 7,,69115,Heidelberg,DE,,,P,0,D,Ball@mann.net,
12,Radetzky,Frau,Mozartstr. 102,,1000,Wien,AT,,,P,0,D,Radetzky@Marsch.at,
13,Mueller,Firma,,44321,68159,Mannheim,DE,,,B,0,D,Vitamine@mueller.net,
14,Genee,Herr,Albrecht-Duerer-Str. 4,,50733,Koeln,DE,,,P,0,D,Mausklick@cologne.net,
15,Soehnen,Herr,Veilchenstr. 6,,01099,Dresden,DE,,,P,0,D,Pastor.Soehnen@kirche.de,
16,Leihinger Brauerei,Firma,Leopoldsgasse 3,,80339,Muenchen,DE,,,B,5,D,Gutes-Bier@gluck-gluck.de,
17,Ruthenberg,Frau,Hirschheimer Str. 6A,,69118,Heidelberg,DE,,,P,0,D,Briefkasten@ruthi.de,
18,Miller,Herr,Am Sandberg 17,,46539,Dinslaken,DE,,,P,0,E,MisterMiller@box.com,
19,Plum,Herr,Dudenhoeferweg 26,,69493,Großsachsen,DE,,,P,0,D,Feuerrot@asdf.net,
20,Becker,Herr,Wimbledonallee 6,,69181,Leimen,DE,,,P,0,D,Tennisarm@sabrina.de,
21,SAP Oesterreich,Firma,,25,1221,Wien,AT,,,B,10,D,info@sap.at,
22,SAP (Schweiz) AG,Firma,Leugenestr. 6,1305,2500,Biel,CH,,,B,10,D,info@sap.ch,
23,SAP America Inc.,,701 Lee Road,,PA 19113,Philadelphia,US,PA,,B,15,E,info@sap.us.com,
24,SAP Thailand,,"287 Silom Road, Bangrak",,10500,Bangkok,TH,,,B,5,2,,
25,SAP Australia PTY.LTD.,,168 Walker Street,,NSW 2060,Sydney,AU,,,B,0,E,,
26,SAP Belgium SA,,"2, Bld. de la Woluwe",,1150,Brussels,BE,,,B,5,F,,
27,SAP Canada Inc.,,4120 Yonge Street,,M2P 2B8,North York Ontario,CA,,,B,5,E,info@sap.ca,
28,SAP Danmark A/S,,Rinnager 4B,,2605,Broendy/Copenhagen,DK,,,B,5,K,info@sap.dk,
29,SAP France SA,,10 Avenue des Olympiades,,94132,Fontenay-Sous-Bois,FR,,,B,10,F,info@sap.fr,
30,SAP Italy SPA,,Palazzo Orione 3,,20041,Agrate Brianza/Milano,IT,,,B,10,I,,
31,SAP Nederland B.V.,,Bruistensingel 400,,5232,AG'S Hertogenbosch,NL,,,B,5,N,,
32,SAP Espana y Portugal S.A,,"Av. da Libertade, 245-9C",,1250,Lisabon,ES,,,B,10,S,,
33,Rolf Lau,Herr Dr.,Antoniusweg 17,,69120,Heidelberg,DE,,,P,0,D,Brillenfrosch@physikus.de,
34,Juergen Stahl,Herr Prof. Dr.,Wuselbert-Ring 2,,68222,Mannheim,DE,,,P,0,D,RomaAeterna@laura.de,
35,Brucher,Herr,Bergstr. 20,,69133,Heidelberg,DE,,,P,0,D,Brucher@mail.net,
36,Maggie Faratti,Ms,14 Oak Lane,,10583,Scarsdale,US,NY,914-723-0915,P,0,E,faratti@pipeline.com,
37,Dampf,Herr,Robert-Bosch-Str. 4,,10883,Berlin,DE,,,P,0,D,HansDampf@centigrade.com,
38,Rolf-Dietmar Huder,Frau,Im Studienseminar 11,,10452,Berlin,DE,,,P,0,D,knallkopf@musik.de,
39,Forks Manufacturing GmbH,Firma,Gabelstraße 55-100,,27563,Hamburg,DE,,,B,5,D,,
40,Electronic Components Dis,,Tower Lane,,94404,Foster City,US,,,B,9,E,,
41,Wald & Maier,Firma,Kolping Str. 15,,66386,St. Ingbert,DE,,06894/55501-0,B,0,D,,
42,Mueller,Firma,Ahornstr. 10,,12345,Berlin,DE,,,B,3,D,,
43,Stolz,Firma,Veilchenstr. 5,,12345,Bremerhaven,DE,,,B,2,D,StolzWieOskar@hallo.net,
44,KBB Schwarze Pumpe,Firma,Fasanenstr.8,,67210,Frankenthal/Pfalz,DE,,,B,15,D,pumpe@pumpe.com,
45,SMP GmbH,Firma,Koenigsallee 5-7,,40849,Duesseldorf,DE,,,B,10,D,,
46,AluCast GmbH,Firma,Elbstraße 9-11,,22085,Hamburg,DE,,,B,10,D,,
47,Sedona Suppliers,,3456 Red View Way,34446,998098,Sedona,US,AZ,602-444-5678,B,0,E,sedona@business.net,
48,SRV GmbH,Firma,Rhein-Neckar-Str. 23-25,,66666,Mannheim,DE,,,B,0,D,,
49,Becker AG,Firma,Beeskowdamm 3,8999,10002,Berlin,DE,,030-8853-0,B,9,D,,
50,Lampen-Markt GmbH,Firma,Auf der Schanz,,65936,Frankfurt,DE,,069-467653-0,B,5,D,,
51,Orangenmarkt KG,Firma,Rosenstraße 11,,87123,Rosenheim,DE,,0888-86765765,B,0,D,Orangen-und-Birnen@obst.de,
52,Motorbau GmbH,Firma,Daimler-Str. 77a,,70321,Stuttgart,DE,,,B,2,D,,
53,Bikeland international,,Schleichheimer Str. 107,,76102,Ludwigshafen/Rhein,DE,,,B,2,D,,
54,Becker GmbH,,Hauptstraße 127,,68301,Mannheim,DE,,,B,0,D,,
56,Blacks AG,,Mainzer Straße 97,,66000,Frankfurt/Main,DE,,,B,0,D,,
57,Bike Retail & Co.,,Hauptstreetse 5,,7095,Hannover,DE,,,B,0,D,,
58,Motor constructions Ltd.,Company,Coal road  117,LS14,12345,Leeds,GB,,,B,0,E,,
59,Parts & Pipes,,Schillerstr.5,,79001,Zuffenhausen,DE,,,B,5,D,,
60,Harvey Parts & Co.,Firma,Hauptstr. 102,,72345,Stuttgart,DE,,,B,8,D,,
62,SKF Kugelmeier KGaA,Firma,Georg-Schiffer-Str. 21,,97341,Schweinfurt,DE,,,B,11,D,,
63,Reihl & Mueller,Firma,Wisperallee 59,,33504,Braunschweig,DE,,,B,11,D,,
64,Woellner AG,Firma,Am Tiergarten 189,,52078,Aachen,DE,,,B,0,D,,
65,Lebensmittelgrosshandel-B,Firma,Kaefertaler Str. 12,,68309,Mannheim,DE,,,B,2,D,,
66,Noe´Company,,Titisee Ring 31,21345,23456,Freiburg,DE,,,B,2,D,,
67,Max Grosshandel,,Industriestreetse 29,,23156,Hamburg,DE,,,B,2,D,,
68,Lang u. Soehne,Firma,Am Koepfle,,86152,Augsburg,DE,,,B,10,D,,
